"Name","learning_rate","weight_decay","random_state","fr_char_p","fr_word_p","train_batch_size","train/loss","eval/loss","eval/bleu"
"fiery-sweep-32","0.0008637053996216034","0","40","0.3788141480661509","0.6487252149003007","16","0.7023","0.618953287601471","0"
"devout-sweep-31","0.0033613842320187617","0.4","53","0.4544664063777383","0.33998198123918744","16","0.6856","0.5269107818603516","1.471"
"swift-sweep-30","0.010139518224244038","0.3","39","0.6316391377405799","0.4267797590889008","32","0.9348","0.6098845601081848","0"
"skilled-sweep-29","0.021963301241197955","0","52","0.25388817982274087","0.4974258989397345","32","0.9084","0.5429537892341614","0"
"stellar-sweep-28","0.011720266074795833","0.2","60","0.4983758765201962","0.727213910227789","32","0.7567","0.5030385255813599","0"
"robust-sweep-27","0.0024166576057195618","0.2","61","0.5173303131791576","0.7729534739868402","32","0.7321","0.5342012643814087","0.4384"
"sparkling-sweep-26","0.0008151770163314815","0.3","25","0.6089439298345336","0.36144325914291103","32","0.7802","0.6125458478927612","0"
"gallant-sweep-25","0.008433350292435667","0.2","72","0.415143386987923","0.4587384879723953","16","0.6417","0.49000829458236694","0"
"silvery-sweep-24","0.01040669382177722","0.1","61","0.8746984566132381","0.5569849505826632","32","0.7606","0.5112979412078857","0"
"restful-sweep-23","0.030438053401243937","0.1","4","0.36247635396634775","0.7418640383037345","32","0.8224","0.5564854145050049","0"
"misty-sweep-22","0.0001388359650741013","0.2","11","0.9953583351473948","0.24805642336381156","32","1.2396","0.836545467376709","0.108"
"vital-sweep-21","0.004089998179862037","0.1","26","0.8063651146128041","0.7640623515466898","16","0.6491","0.4903993010520935","1.2677"
"dashing-sweep-20","0.007097854273204103","0","4","0.9425901349845052","0.6986934901016864","16","0.6424","0.5125381350517273","0"
"dazzling-sweep-19","0.0980538007292019","0","31","0.5190618196221921","0.7719970832091285","32","3.8334","0.926527738571167","0"
"glorious-sweep-18","0.07707704555119989","0","49","0.6635862975872865","0.8678232872461129","32","3.64","1.56109881401062","0"
"dry-sweep-17","0.09618317747600572","0.4","32","0.4503606254447692","0.23222880082898145","16","3.6517","1.0592650175094604","0"
"lucky-sweep-16","0.00031255937592888645","0","27","0.6920032994140689","0.46489304031121537","16","0.7965","0.5777865648269653","0"
"zany-sweep-15","0.01187721951560014","0.3","11","0.4571510021091106","0.8235313978542236","16","0.617","0.5149551033973694","0"
"comfy-sweep-14","0.001620644123330365","0","7","0.4717567822282639","0.7977143827113362","32","0.8027","0.5521754622459412","0"
"hardy-sweep-13","0.0023118906467202416","0.4","1","0.5914542632321074","0.4495405182231499","16","0.6615","0.5561882257461548","2.4748"
"lively-sweep-12","0.0016766296476960554","0.3","71","0.2879408125601204","0.20014163102234872","16","0.6798","0.5305383801460266","0"
"pretty-sweep-11","0.02672680984111256","0.4","77","0.8610711962253805","0.5511130908525904","32","2.6087","0.693419873714447","0"
"fancy-sweep-10","0.07414013054888538","0.3","34","0.8752458674796124","0.5383173333227683","16","3.4864","0.9699082970619202","0"
"sleek-sweep-9","0.00011870598833011806","0","45","0.565046669465831","0.7738867378774072","32","1.2918","0.8655288219451904","0.0494"
"fancy-sweep-8","0.001270658556004081","0.4","48","0.3729825818754754","0.48120219043765566","16","0.6859","0.5323394536972046","0"
"quiet-sweep-7","0.01085987463152563","0.3","39","0.467834986769714","0.7117707724800457","16","0.627","0.5392237305641174","0"
"robust-sweep-6","0.0009254097996363324","0.4","43","0.28335762632309447","0.506400374199839","16","0.7152","0.551105260848999","0"
